,a1,a2,b1,b2,c1
a1,0.0,0.23584204009391319,0.5300759645367227,0.6103321219336847,0.634721873948479
a2,0.23584204009391319,0.0,0.4522321040336971,0.5333567019836999,0.561555214852025
b1,0.5300759645367227,0.4522321040336971,0.0,0.12850291508473075,0.2218063701463174
b2,0.6103321219336847,0.5333567019836999,0.12850291508473075,0.0,0.13939656115959084
c1,0.634721873948479,0.561555214852025,0.2218063701463174,0.13939656115959084,0.0
