,A1,A1,A1,A1,A2,A2,A2,A2,B1,B1,B1,B1,B2,B2,B2,B2,C1,C1,C1,C1
,A2,B1,B2,C1,A1,B1,B2,C1,A1,A2,B2,C1,A1,A2,B1,C1,A1,A2,B1,B2
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,27.464,28.281,11.875,11.097,25.876,13.112,7.269,6.64,21.676,12.509,45.928,39.173,9.28,6.332,45.613,52.712,9.293,5.852,36.941,53.478
std,20.402965102773308,16.883159659260468,8.037037325343771,7.5927096770678775,19.213895955734692,8.501278005554672,4.616270025567062,4.095262039378088,18.930805566573216,9.939653702001653,32.55214982852062,28.63821255278023,7.399753803766463,4.729708885982956,33.89915018674339,70.75213721804386,8.290590140929949,4.547832316475483,28.84051480633265,68.68644220909495
min,3.0,9.0,4.0,4.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25%,14.0,17.0,7.0,6.0,13.0,7.0,4.0,4.0,8.0,5.0,22.75,19.0,4.0,3.0,21.0,1.0,4.0,3.0,16.0,1.0
50%,22.0,23.0,10.0,9.0,21.0,11.0,6.0,5.0,16.0,10.0,36.0,30.0,7.0,5.0,36.0,1.0,7.0,5.0,29.0,1.0
75%,34.0,33.0,14.0,13.0,33.0,16.0,9.0,8.0,29.0,17.0,58.0,49.0,12.0,8.0,61.0,120.0,12.0,7.0,47.0,115.25
max,153.0,145.0,86.0,83.0,162.0,69.0,43.0,40.0,140.0,72.0,197.0,195.0,75.0,37.0,200.0,200.0,75.0,35.0,171.0,200.0
