,A1,A1,A1,A1,A2,A2,A2,A2,B1,B1,B1,B1,B2,B2,B2,B2,C1,C1,C1,C1
,A2,B1,B2,C1,A1,B1,B2,C1,A1,A2,B2,C1,A1,A2,B1,C1,A1,A2,B1,B2
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,29.89,8.063,5.137,4.255,23.587,11.642,6.156,4.864,5.962,9.848,37.085,18.423,3.64,5.631,37.021,71.284,2.974,4.475,19.251,69.204
std,18.8546386175232,4.584981248931457,2.7180174058711573,2.262983892142431,20.433990774662178,7.609187587103879,3.889060142089465,3.0963028099801595,5.0461886627453865,7.398218003656679,28.065912963423607,14.257817377016554,2.9115076638877135,4.306667666118004,27.257614285489776,47.08229057815777,2.2464127782690233,3.36670606226764,14.691147975186578,46.997906200033896
min,1.0,3.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25%,17.0,5.0,3.0,3.0,9.75,6.0,4.0,3.0,3.0,5.0,18.0,9.0,2.0,3.0,18.0,38.0,1.0,2.0,9.0,35.0
50%,24.0,7.0,4.0,4.0,18.0,9.0,5.0,4.0,5.0,8.0,29.0,14.0,3.0,4.0,30.0,64.0,2.0,4.0,15.0,60.0
75%,37.0,10.0,6.0,5.0,31.0,14.0,7.0,6.0,8.0,13.0,47.0,23.0,5.0,7.0,48.25,98.0,4.0,6.0,24.0,98.0
max,154.0,43.0,31.0,17.0,157.0,58.0,32.0,28.0,44.0,48.0,195.0,106.0,23.0,49.0,195.0,199.0,15.0,35.0,144.0,200.0
