,a1,a2,b1,b2,c1
a1,0.0,0.19894974543522922,0.5149579386981126,0.6297425431534813,0.7024590598854347
a2,0.19894974543522922,0.0,0.46529182065002683,0.5712078954080438,0.6544461649574264
b1,0.5149579386981126,0.46529182065002683,0.0,0.2591823164453858,0.37403173695584135
b2,0.6297425431534813,0.5712078954080438,0.2591823164453858,0.0,0.21296991219319725
c1,0.7024590598854347,0.6544461649574264,0.37403173695584135,0.21296991219319725,0.0
