,a1,a2,b1,b2,c1
a1,0.0,0.33321351837306334,0.5376388642736792,0.6743769615677515,0.6531473515395603
a2,0.33321351837306334,0.0,0.3742219082369325,0.5482851001959131,0.528486917588579
b1,0.5376388642736792,0.3742219082369325,0.0,0.2855673143106943,0.29264325227968874
b2,0.6743769615677515,0.5482851001959131,0.2855673143106943,0.0,0.11002926342938818
c1,0.6531473515395603,0.528486917588579,0.29264325227968874,0.11002926342938818,0.0
